表1
列1	列2	列3	列4	列5	
Approved symbol	Approved name	Previous symbols	Synonyms	Previous name	
A1BG	alpha-1-B glycoprotein				
A1BG-AS1	A1BG antisense RNA 1	"NCRNA00181, A1BGAS, A1BG-AS"	FLJ23569	"non-protein coding RNA 181, ""A1BG antisense RNA (non-protein coding)"", ""A1BG antisense RNA 1 (non-protein coding)"""	
A1CF	APOBEC1 complementation factor		"ACF, ASP, ACF64, ACF65, APOBEC1CF"		
A2M	alpha-2-macroglobulin		"FWP007, S863-7, CPAMD5"		
A2M-AS1	A2M antisense RNA 1			"A2M antisense RNA 1 (non-protein coding), ""A2M antisense RNA 1"""	
A2ML1	alpha-2-macroglobulin like 1	CPAMD9	"FLJ25179, p170"	"C3 and PZP-like, alpha-2-macroglobulin domain containing 9"	
A2ML1-AS1	A2ML1 antisense RNA 1			A2ML1 antisense RNA 1 (non-protein coding)	
A2ML1-AS2	A2ML1 antisense RNA 2			A2ML1 antisense RNA 2 (non-protein coding)	
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		alpha-2-macroglobulin pseudogene	
A3GALT2	"alpha 1,3-galactosyltransferase 2"	A3GALT2P	"IGBS3S, IGB3S"	"alpha 1,3-galactosyltransferase 2, pseudogene"	
A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	P1	"A14GALT, Gb3S, P(k)"	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group), ""P one antigen (P blood group)"""	
A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"		alpha4GnT		
AAAS	aladin WD repeat nucleoporin			"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A), ""achalasia, adrenocortical insufficiency, alacrimia"""	
AACS	acetoacetyl-CoA synthetase		"FLJ12389, SUR-5, ACSF1"		
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		acetoacetyl-CoA synthetase-like	
AADAC	arylacetamide deacetylase		"DAC, CES5A1"	arylacetamide deacetylase (esterase)	
AADACL2	arylacetamide deacetylase like 2		MGC72001		
AADACL2-AS1	AADACL2 antisense RNA 1				
AADACL3	arylacetamide deacetylase like 3		OTTHUMG00000001887		
AADACL4	arylacetamide deacetylase like 4		OTTHUMG00000001889		
AADACP1	arylacetamide deacetylase pseudogene 1				
AADAT	aminoadipate aminotransferase		"KATII, KAT2, KYAT2"		
AAGAB	alpha and gamma adaptin binding protein		"FLJ11506, p34"		
AAK1	AP2 associated kinase 1		"KIAA1048, DKFZp686K16132"		
AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	"PTD015, FLJ21035, CK067"	chromosome 11 open reading frame 67	
AAMP	angio associated migratory cell protein				
AANAT	aralkylamine N-acetyltransferase		SNAT	arylalkylamine N-acetyltransferase	
AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2	"chromosome 20 open reading frame 4, ""AAR2 splicing factor homolog (S. cerevisiae)"""	
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	chromosome 8 open reading frame 85	
AARS	alanyl-tRNA synthetase		"CMT2N, AlaRS"		
AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	AARSL	"KIAA1270, bA444E17.1"	"alanyl-tRNA synthetase like, ""alanyl-tRNA synthetase 2, mitochondrial (putative)"""	
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744		
AARSP1	alanyl-tRNA synthetase pseudogene 1				
